iteracion,timestamp,theta,x,y,sigma_theta,sigma_x,sigma_y,lm0_x,lm0_y,lm1_x,lm1_y,z_diff_range,z_diff_bearing
69,1779735451.906337,0.000403,-0.001094,0.001015,0.017167,0.016778,0.015637,-0.500975,-0.699551,0.798762,-0.799945,0.000534,-0.002031
70,1779735451.972928,-0.000128,-0.000661,0.000713,0.014844,0.014404,0.014675,-0.500972,-0.699554,0.798762,-0.799994,0.000681,0.001933
71,1779735452.060074,-0.000227,-0.000688,0.000918,0.014185,0.013784,0.014011,-0.500978,-0.699537,0.798755,-0.799986,-0.000896,0.000532
72,1779735452.188604,-0.000346,-0.000929,0.000806,0.020360,0.018312,0.018072,-0.500972,-0.699531,0.798751,-0.799988,-0.000430,0.000370
73,1779735452.208271,-0.000061,-0.000797,0.000990,0.017161,0.016777,0.015634,-0.500951,-0.699529,0.798724,-0.799996,-0.000218,-0.001005
74,1779735452.236951,-0.000754,-0.000272,0.000484,0.014836,0.014403,0.014673,-0.500949,-0.699539,0.798721,-0.800063,0.001318,0.002592
75,1779735452.266405,-0.000587,-0.000550,0.000524,0.014178,0.013784,0.014011,-0.500959,-0.699542,0.798712,-0.800052,-0.001198,-0.000868
76,1779735452.692136,-0.000333,-0.000310,0.000364,0.020360,0.018307,0.018068,-0.500963,-0.699539,0.798717,-0.800051,0.000015,-0.000804
77,1779735452.931272,-0.000653,0.000074,0.000002,0.017163,0.016772,0.015629,-0.500954,-0.699552,0.798689,-0.800029,-0.001328,0.000295
78,1779735453.185167,-0.000532,-0.000069,-0.000056,0.014831,0.014402,0.014671,-0.500957,-0.699559,0.798686,-0.800027,0.000334,-0.000359
79,1779735453.360730,-0.000630,0.000297,-0.000325,0.014177,0.013785,0.014012,-0.500940,-0.699571,0.798703,-0.800048,0.002417,0.000483
80,1779735453.844460,-0.000634,0.000579,0.000092,0.020360,0.018302,0.018065,-0.500949,-0.699584,0.798706,-0.800044,0.000936,0.000029
