iteracion,timestamp,t_prediccion_us,t_update_us,t_callback_total_us,n_landmarks_visibles
1628,1779738784.229,24176.518,58498.098,83335.293,4
1632,1779738784.447,39295.465,56016.688,97158.979,4
1636,1779738784.524,21631.096,52902.349,76053.517,4
1640,1779738784.629,22151.730,54765.234,83825.077,4
1644,1779738784.845,37179.986,60503.697,98347.239,4
1648,1779738785.051,38760.011,65824.525,105252.951,4
1652,1779738785.242,32404.563,64644.294,98899.384,4
1656,1779738785.418,24912.735,49848.930,75583.413,4
1660,1779738785.651,34669.954,65452.102,100840.661,4
1664,1779738785.749,24837.165,50841.181,76329.830,4
1668,1779738785.836,24441.201,56102.075,81199.304,4
1672,1779738786.061,44172.139,70444.358,115303.553,4
1676,1779738786.229,27107.325,58321.566,87425.620,4
1680,1779738786.427,23380.391,52699.856,76858.025,4
1684,1779738786.646,30726.638,66813.502,98207.658,4
1688,1779738786.828,31299.703,49979.012,81935.891,4
1692,1779738787.045,30039.751,67562.792,98257.288,4
1696,1779738787.139,26757.772,64690.905,93370.564,4
1700,1779738787.237,33737.875,58689.790,93879.319,4
1704,1779738787.436,32626.695,59462.159,93598.076,4
1708,1779738787.637,35277.399,59197.404,95193.011,4
1712,1779738787.829,28657.149,52888.048,82654.358,4
1716,1779738788.051,40868.130,65962.836,107588.962,4
1720,1779738788.240,29635.428,61227.513,94030.420,4
1724,1779738788.398,28863.361,64825.836,94336.043,4
1728,1779738788.496,30015.802,66901.834,97576.332,4
1732,1779738788.646,32094.700,69809.232,102572.908,4
1736,1779738788.833,28497.088,60076.091,89365.268,4
1740,1779738789.045,31394.274,63839.887,95936.198,4
1744,1779738789.220,26434.510,49992.403,77101.607,4
1748,1779738789.448,33026.679,70162.845,103868.640,4
1752,1779738789.637,26986.854,64626.843,92273.154,4
1756,1779738789.727,25536.611,63267.512,89433.728,4
1760,1779738789.825,24226.639,57775.033,82858.239,4
1764,1779738790.051,35764.104,67728.643,104861.588,4
1768,1779738790.238,26805.532,60343.876,87808.734,4
1772,1779738790.443,31924.539,66969.675,99755.362,4
1776,1779738790.643,37144.726,59567.490,97389.911,4
1780,1779738790.866,37970.293,76604.343,115445.714,4
1784,1779738791.047,33197.350,75739.616,109621.221,4
1788,1779738791.133,29580.098,55131.859,85369.122,4
1792,1779738791.231,29035.682,54067.968,83812.778,4
1796,1779738791.432,31936.979,56699.332,89300.027,4
1800,1779738791.643,31680.547,65238.820,98297.729,4
1804,1779738791.833,26293.438,60428.546,87387.380,4
1808,1779738792.043,33421.172,65298.820,99395.288,4
1812,1779738792.240,27880.842,65412.903,94284.743,4
1816,1779738792.354,37101.976,63131.290,100922.653,4
1820,1779738792.438,26677.792,54202.191,82320.244,4
1824,1779738792.644,33524.893,62708.018,97804.045,4
1828,1779738792.833,25319.949,63451.673,89471.580,4
1832,1779738793.055,33100.309,78036.037,111800.671,4
1836,1779738793.232,27820.822,52590.837,81085.404,4
1840,1779738793.437,31403.534,62156.321,94704.167,4
1844,1779738793.648,36521.981,67016.995,104193.552,4
1848,1779738793.733,26266.218,56568.631,83493.255,4
1852,1779738793.827,24057.088,56737.864,81456.236,4
1856,1779738794.055,32929.778,74550.275,108145.979,4
1860,1779738794.243,36480.729,62103.801,99243.298,4
1864,1779738794.431,30721.608,55959.805,87462.151,4
1868,1779738794.641,33297.241,63318.522,97980.976,4
1872,1779738794.834,26003.055,63968.828,90643.720,4
1876,1779738794.983,29030.443,66017.767,95716.696,4
1880,1779738795.071,28924.911,57015.674,86776.125,4
1884,1779738795.242,31313.923,62342.253,94327.943,4
1888,1779738795.437,39410.747,54067.909,94148.011,4
1892,1779738795.633,28495.488,55344.400,84521.235,4
1896,1779738795.835,38405.168,52797.898,91882.351,4
1900,1779738796.032,29115.413,54934.216,84716.087,4
1904,1779738796.245,30895.829,68194.706,100573.920,4
1908,1779738796.330,29870.580,53866.667,84361.593,4
1912,1779738796.418,22796.466,48623.390,72072.142,4
1916,1779738796.643,36285.878,63458.044,100410.999,4
1920,1779738796.834,26925.964,59803.782,88072.747,4
1924,1779738797.036,30857.689,60412.758,92373.976,4
1928,1779738797.224,24164.188,56119.728,80955.053,4
1932,1779738797.434,25478.141,63200.242,90270.356,4
1936,1779738797.627,26339.668,56695.723,83678.077,4
1940,1779738797.713,26449.539,58263.346,85556.894,4
1944,1779738797.826,25931.114,54625.133,81232.335,4
1948,1779738798.046,39138.744,58729.362,99701.863,4
1952,1779738798.250,39346.666,54807.697,95688.596,4
1956,1779738798.444,35730.453,57082.958,93646.647,4
1960,1779738798.640,29717.879,60124.274,90541.759,4
1964,1779738798.843,27996.473,66515.891,95174.362,4
1968,1779738798.944,31921.909,59663.850,95367.733,4
1972,1779738799.034,26429.819,59253.685,86407.542,4
1976,1779738799.226,24068.678,58369.078,83103.122,4
1980,1779738799.437,25197.958,59597.820,85995.898,4
1984,1779738799.629,31037.021,53838.278,86184.620,4
1988,1779738799.837,30460.996,62210.443,93942.550,4
1992,1779738800.047,30292.154,68230.686,99194.288,4
1996,1779738800.231,25007.497,58551.621,84744.166,4
2000,1779738800.319,24619.763,59686.249,87390.091,4
2004,1779738800.425,24333.430,52331.702,77344.090,4
2008,1779738800.642,32644.776,65388.612,98706.104,4
2012,1779738800.844,34389.771,58364.838,94023.970,4
2016,1779738801.055,41257.364,61399.667,103753.399,4
2020,1779738801.239,34402.031,55016.257,90842.052,4
2024,1779738801.437,29720.489,62890.369,93427.725,4
2028,1779738801.572,29094.354,59065.985,88933.755,4
2032,1779738801.651,26034.775,51318.565,78047.947,4
2036,1779738801.832,27700.011,58495.600,86895.957,4
2040,1779738802.053,31937.879,72754.287,107029.289,4
2044,1779738802.230,24298.669,57973.665,82924.020,4
2048,1779738802.442,32933.898,64127.840,97744.154,4
2052,1779738802.648,42324.353,61016.802,104346.205,4
2056,1779738802.851,37084.196,64614.095,102345.486,4
2060,1779738803.064,40113.713,75589.695,116542.145,4
2064,1779738803.236,35284.699,51222.192,87317.200,4
2068,1779738803.440,33548.033,61387.385,96043.379,4
2072,1779738803.547,28432.167,54205.761,83279.174,4
2076,1779738803.639,25637.762,58974.782,85749.806,4
2080,1779738803.838,27602.580,59827.660,88105.417,4
2084,1779738804.040,28685.100,61299.915,90656.511,4
2088,1779738804.247,36955.405,53705.075,91313.936,4
